year,party,pc
1998,ADMK,39
1998,BJP,164
1998,CPM,44
1998,INC,215
1998,Others,27
1998,RJD,54
1999,ADMK,39
1999,BJP,196
1999,CPM,44
1999,INC,207
1999,Others,3
1999,RJD,54
2004,BJP,114
2004,CPM,44
2004,INC,205
2004,Others,60
2004,RJD,40
2004,SP,80
2009,BJP,117
2009,BSP,80
2009,CPM,44
2009,INC,200
2009,JD(U),40
2009,Others,62
2014,ADMK,39
2014,AITC,42
2014,BJP,355
2014,INC,38
2014,Others,27
2014,TDP,42
2019,AITC,42
2019,BJP,357
2019,DMK,38
2019,INC,37
2019,Others,43
2019,YSRCP,25
